week,title,turn,date,rating
2026-17,사랑을 처방해 드립니다,1,01.31.,14.3
2026-17,사랑을 처방해 드립니다,2,02.01.,16.8
2026-17,사랑을 처방해 드립니다,3,02.07.,15.7
2026-17,사랑을 처방해 드립니다,4,02.08.,17.2
2026-17,사랑을 처방해 드립니다,5,02.14.,14.5
2026-17,사랑을 처방해 드립니다,6,02.15.,14.5
2026-17,사랑을 처방해 드립니다,7,02.21.,16.1
2026-17,사랑을 처방해 드립니다,8,02.22.,17.1
2026-17,사랑을 처방해 드립니다,9,02.28.,15.7
2026-17,사랑을 처방해 드립니다,10,03.01.,17.4
2026-17,사랑을 처방해 드립니다,11,03.08.,18.0
2026-17,사랑을 처방해 드립니다,12,03.08.,11.3
2026-17,사랑을 처방해 드립니다,13,03.14.,13.9
2026-17,사랑을 처방해 드립니다,14,03.15.,15.4
2026-17,사랑을 처방해 드립니다,15,03.21.,12.3
2026-17,사랑을 처방해 드립니다,16,03.22.,15.3
2026-17,사랑을 처방해 드립니다,17,03.28.,13.2
2026-17,사랑을 처방해 드립니다,18,03.29.,14.5
2026-17,사랑을 처방해 드립니다,19,04.04.,12.0
2026-17,사랑을 처방해 드립니다,20,04.05.,14.4
2026-17,사랑을 처방해 드립니다,21,04.11.,12.6
2026-17,사랑을 처방해 드립니다,22,04.12.,14.5
2026-17,사랑을 처방해 드립니다,23,04.18.,13.5
2026-17,사랑을 처방해 드립니다,24,04.19.,14.9
2026-17,21세기 대군부인,1,04.10.,7.8
2026-17,21세기 대군부인,2,04.11.,9.5
2026-17,21세기 대군부인,3,04.17.,9.0
2026-17,21세기 대군부인,4,04.18.,11.1
2026-17,붉은 진주,8,03.04.,9.0
2026-17,붉은 진주,9,03.10.,7.9
2026-17,붉은 진주,10,03.11.,7.7
2026-17,붉은 진주,11,03.12.,7.4
2026-17,붉은 진주,12,03.13.,6.7
2026-17,붉은 진주,13,03.16.,8.0
2026-17,붉은 진주,14,03.17.,7.2
2026-17,붉은 진주,15,03.18.,8.2
2026-17,붉은 진주,16,03.19.,7.4
2026-17,붉은 진주,17,03.20.,7.3
2026-17,붉은 진주,18,03.23.,7.3
2026-17,붉은 진주,19,03.24.,8.0
2026-17,붉은 진주,20,03.25.,7.7
2026-17,붉은 진주,21,03.26.,7.3
2026-17,붉은 진주,22,03.27.,7.6
2026-17,붉은 진주,23,03.30.,7.9
2026-17,붉은 진주,24,03.31.,7.9
2026-17,붉은 진주,25,04.01.,7.6
2026-17,붉은 진주,26,04.02.,7.1
2026-17,붉은 진주,27,04.06.,7.6
2026-17,붉은 진주,28,04.07.,7.5
2026-17,붉은 진주,29,04.08.,7.0
2026-17,붉은 진주,30,04.09.,7.4
2026-17,붉은 진주,31,04.13.,7.1
2026-17,붉은 진주,32,04.14.,7.6
2026-17,붉은 진주,33,04.15.,7.2
2026-17,붉은 진주,34,04.16.,6.7
2026-17,붉은 진주,35,04.20.,7.5
2026-17,붉은 진주,36,04.21.,7.5
2026-17,붉은 진주,37,04.22.,7.2
2026-17,신이랑 법률사무소,1,03.13.,6.3
2026-17,신이랑 법률사무소,2,03.14.,8.7
2026-17,신이랑 법률사무소,3,03.20.,7.8
2026-17,신이랑 법률사무소,4,03.21.,9.1
2026-17,신이랑 법률사무소,5,03.27.,8.7
2026-17,신이랑 법률사무소,6,03.28.,10.0
2026-17,신이랑 법률사무소,7,04.03.,7.6
2026-17,신이랑 법률사무소,8,04.04.,9.5
2026-17,신이랑 법률사무소,9,04.10.,6.7
2026-17,신이랑 법률사무소,10,04.11.,6.6
2026-17,신이랑 법률사무소,11,04.17.,6.5
2026-17,신이랑 법률사무소,12,04.18.,6.0
2026-17,기쁜 우리 좋은 날,1,03.30.,10.1
2026-17,기쁜 우리 좋은 날,2,03.31.,9.7
2026-17,기쁜 우리 좋은 날,3,04.01.,9.5
2026-17,기쁜 우리 좋은 날,4,04.02.,9.7
2026-17,기쁜 우리 좋은 날,5,04.03.,8.1
2026-17,기쁜 우리 좋은 날,6,04.06.,10.1
2026-17,기쁜 우리 좋은 날,7,04.07.,9.6
2026-17,기쁜 우리 좋은 날,8,04.08.,8.9
2026-17,기쁜 우리 좋은 날,9,04.09.,9.9
2026-17,기쁜 우리 좋은 날,10,04.10.,9.4
2026-17,기쁜 우리 좋은 날,11,04.13.,10.0
2026-17,기쁜 우리 좋은 날,12,04.14.,9.7
2026-17,기쁜 우리 좋은 날,13,04.15.,9.4
2026-17,기쁜 우리 좋은 날,14,04.16.,9.6
2026-17,기쁜 우리 좋은 날,15,04.17.,7.6
2026-17,기쁜 우리 좋은 날,16,04.20.,10.1
2026-17,기쁜 우리 좋은 날,17,04.21.,9.3
2026-17,기쁜 우리 좋은 날,18,04.22.,9.6
2026-17,첫 번째 남자,61,03.12.,5.4
2026-17,첫 번째 남자,62,03.13.,4.8
2026-17,첫 번째 남자,63,03.16.,5.6
2026-17,첫 번째 남자,64,03.17.,5.4
2026-17,첫 번째 남자,65,03.18.,4.9
2026-17,첫 번째 남자,66,03.19.,5.3
2026-17,첫 번째 남자,67,03.20.,3.6
