week,title,turn,date,rating
2026-24,사랑을 처방해 드립니다,9,02.28.,15.7
2026-24,사랑을 처방해 드립니다,10,03.01.,17.4
2026-24,사랑을 처방해 드립니다,11,03.08.,18.0
2026-24,사랑을 처방해 드립니다,12,03.08.,11.3
2026-24,사랑을 처방해 드립니다,13,03.14.,13.9
2026-24,사랑을 처방해 드립니다,14,03.15.,15.4
2026-24,사랑을 처방해 드립니다,15,03.21.,12.3
2026-24,사랑을 처방해 드립니다,16,03.22.,15.3
2026-24,사랑을 처방해 드립니다,17,03.28.,13.2
2026-24,사랑을 처방해 드립니다,18,03.29.,14.5
2026-24,사랑을 처방해 드립니다,19,04.04.,12.0
2026-24,사랑을 처방해 드립니다,20,04.05.,14.4
2026-24,사랑을 처방해 드립니다,21,04.11.,12.6
2026-24,사랑을 처방해 드립니다,22,04.12.,14.5
2026-24,사랑을 처방해 드립니다,23,04.18.,13.5
2026-24,사랑을 처방해 드립니다,24,04.19.,14.9
2026-24,사랑을 처방해 드립니다,25,04.25.,12.7
2026-24,사랑을 처방해 드립니다,26,04.26.,14.9
2026-24,사랑을 처방해 드립니다,27,05.02.,13.3
2026-24,사랑을 처방해 드립니다,28,05.03.,14.7
2026-24,사랑을 처방해 드립니다,29,05.09.,12.9
2026-24,사랑을 처방해 드립니다,30,05.10.,14.3
2026-24,사랑을 처방해 드립니다,31,05.16.,12.5
2026-24,사랑을 처방해 드립니다,32,05.17.,13.9
2026-24,사랑을 처방해 드립니다,33,05.23.,12.3
2026-24,사랑을 처방해 드립니다,34,05.24.,13.2
2026-24,사랑을 처방해 드립니다,35,05.30.,13.3
2026-24,사랑을 처방해 드립니다,36,05.31.,15.0
2026-24,사랑을 처방해 드립니다,37,06.06.,13.1
2026-24,사랑을 처방해 드립니다,38,06.07.,15.1
2026-24,기쁜 우리 좋은 날,19,04.23.,10.1
2026-24,기쁜 우리 좋은 날,20,04.24.,8.8
2026-24,기쁜 우리 좋은 날,21,04.27.,10.3
2026-24,기쁜 우리 좋은 날,22,04.28.,9.8
2026-24,기쁜 우리 좋은 날,23,04.29.,9.1
2026-24,기쁜 우리 좋은 날,24,04.30.,9.7
2026-24,기쁜 우리 좋은 날,25,05.01.,8.5
2026-24,기쁜 우리 좋은 날,26,05.04.,9.9
