week,title,turn,date,rating
2026-13,사랑을 처방해 드립니다,1,01.31.,14.3
2026-13,사랑을 처방해 드립니다,2,02.01.,16.8
2026-13,사랑을 처방해 드립니다,3,02.07.,15.7
2026-13,사랑을 처방해 드립니다,4,02.08.,17.2
2026-13,사랑을 처방해 드립니다,5,02.14.,14.5
2026-13,사랑을 처방해 드립니다,6,02.15.,14.5
2026-13,사랑을 처방해 드립니다,7,02.21.,16.1
2026-13,사랑을 처방해 드립니다,8,02.22.,17.1
2026-13,사랑을 처방해 드립니다,9,02.28.,15.7
2026-13,사랑을 처방해 드립니다,10,03.01.,17.4
2026-13,사랑을 처방해 드립니다,11,03.08.,18.0
2026-13,사랑을 처방해 드립니다,12,03.08.,11.3
2026-13,사랑을 처방해 드립니다,13,03.14.,13.9
2026-13,사랑을 처방해 드립니다,14,03.15.,15.4
2026-13,사랑을 처방해 드립니다,15,03.21.,12.3
2026-13,사랑을 처방해 드립니다,16,03.22.,15.3
2026-13,마리와 별난 아빠들,86,02.09.,11.3
2026-13,마리와 별난 아빠들,87,02.10.,11.0
2026-13,마리와 별난 아빠들,88,02.11.,11.0
2026-13,마리와 별난 아빠들,89,02.12.,11.7
2026-13,마리와 별난 아빠들,90,02.13.,11.1
2026-13,마리와 별난 아빠들,91,02.16.,8.3
2026-13,마리와 별난 아빠들,92,02.17.,7.4
2026-13,마리와 별난 아빠들,93,02.18.,10.8
2026-13,마리와 별난 아빠들,94,02.19.,11.5
2026-13,마리와 별난 아빠들,95,02.20.,11.2
2026-13,마리와 별난 아빠들,96,02.23.,11.6
2026-13,마리와 별난 아빠들,97,02.24.,11.2
2026-13,마리와 별난 아빠들,98,02.25.,10.8
2026-13,마리와 별난 아빠들,99,02.26.,11.6
2026-13,마리와 별난 아빠들,100,02.27.,11.6
2026-13,마리와 별난 아빠들,101,03.02.,12.6
2026-13,마리와 별난 아빠들,102,03.03.,11.8
2026-13,마리와 별난 아빠들,103,03.04.,11.4
2026-13,마리와 별난 아빠들,104,03.05.,11.0
2026-13,마리와 별난 아빠들,105,03.06.,10.3
2026-13,마리와 별난 아빠들,106,03.09.,10.5
2026-13,마리와 별난 아빠들,107,03.10.,11.3
2026-13,마리와 별난 아빠들,108,03.11.,11.1
2026-13,마리와 별난 아빠들,109,03.12.,11.5
2026-13,마리와 별난 아빠들,110,03.13.,9.8
2026-13,마리와 별난 아빠들,111,03.16.,11.9
2026-13,마리와 별난 아빠들,112,03.17.,11.0
2026-13,마리와 별난 아빠들,113,03.18.,10.8
2026-13,마리와 별난 아빠들,114,03.19.,11.6
2026-13,마리와 별난 아빠들,115,03.20.,11.2
2026-13,붉은 진주,1,02.23.,8.7
2026-13,붉은 진주,2,02.24.,8.8
2026-13,붉은 진주,3,02.25.,8.5
2026-13,붉은 진주,4,02.26.,8.9
2026-13,붉은 진주,5,02.27.,9.1
2026-13,붉은 진주,6,03.02.,9.2
2026-13,붉은 진주,7,03.03.,9.4
2026-13,붉은 진주,8,03.04.,9.0
