week,segment,rank,channel,title,rating
2026-22,지상파,1,KBS2,사랑을 처방해 드립니다,12.7
2026-22,지상파,2,SBS,멋진 신세계,9.9
2026-22,지상파,3,KBS1,기쁜 우리 좋은 날,9.7
2026-22,지상파,4,KBS2,붉은 진주,7.0
2026-22,지상파,5,MBC,첫 번째 남자,5.1
2026-22,지상파,6,MBC,오십프로,4.0
2026-22,지상파,7,SBS,오늘도 매진했습니다,3.0
2026-22,지상파,16,SBS,붉은 진주 (스페셜) KBS2,0.4
2026-22,종합편성,1,JTBC,모두가 자신의 무가치함과 싸우고 있다,4.7
2026-22,종합편성,2,TV조선,대군 : 왕이 되려는 남자,1.2
2026-22,종합편성,3,JTBC,모두가 자신의 무가치함과 싸우고 있다 (스페셜) JTBC,0.7
2026-22,케이블,1,ENA,허수아비,7.6
2026-22,케이블,2,tvN,취사병 전설이 되다,7.5
2026-22,케이블,3,tvN,은밀한 감사,6.9
